,Data Label,Description
85,Elec_PowerPlugsDR,Electrical Power_Electrical Instantaneous power used at receptacles of dining room  W
86,Elec_PowerPlugsBR4,Electrical Power_Electrical Instantaneous power used at receptacles of bedroom 4  W
87,Elec_PowerPlugsEntryHall,Electrical Power_Electrical Instantaneous power used at receptacles in entry hallway  W
88,Elec_PowerPlugsLR,Electrical Power_Electrical Instantaneous power used at receptacles of living room  W
89,Elec_PowerClothesWasher,Electrical Power_Electrical Instantaneous power used by clothes washer  W
90,Elec_PowerDryer1of2,Electrical Power_Electrical Instantaneous power used by one leg of electrical supply to dryer; note that power from other leg is needed to get total power consumption by dryer W
91,Elec_PowerDryer2of2,Electrical Power_Electrical Instantaneous power consumption of one leg of electrical supply to dryer; note that power from other leg is needed to get total power consumption by dryer W
92,Elec_PowerPlugsBaseB,Electrical Power_Electrical Instantaneous power used at receptacle B in basement  W
93,Elec_PowerPlugsBaseC,Electrical Power_Electrical Instantaneous power used at receptacle C in basement  W
94,Elec_PowerSumpPump,Electrical Power_Electrical Instantaneous power used by sump pump in basement W
95,Elec_PowerSpare1,Electrical Power_Electrical Instantaneous power used by standby load in basement W
96,Elec_PowerPlugsBA1,Electrical Power_Electrical Instantaneous power used by receptacles of bathroom 1 W
97,Elec_PowerGarbageDisposal,Electrical  Power_Electrical Instantaneous power consumption by garbage disposal  W
98,Elec_PowerPlugsKitRange,Electrical  Power_Electrical Instantaneous power consumption by blender  W
99,Elec_PowerPlugsKitPeninsula,Electrical  Power_Electrical Instantaneous power consumption by mixer and can opener W
100,Elec_PowerMicrowave,Electrical  Power_Electrical Instantaneous power consumption by microwave oven  W
101,Elec_PowerPlugs2ndFloor,Electrical Power_Electrical Instantaneous power consumption from receptacles in bathroom 2  W
102,Elec_PowerSpare2,Electrical Power_Electrical Instantaneous power consumption by computer network connection in basement W
103,Elec_PowerPlugsBR2,Electrical Power_Electrical Instantaneous power consumption from receptacles in bedroom 2  W
104,Elec_PowerPlugsMBR,Electrical Power_Electrical Instantaneous power consumption from receptacles in master bedroom  W
105,Elec_PowerPlugsMBAEast,Electrical Power_Electrical Instantaneous power consumption from receptacles on east side of master bathroom  W
106,Elec_PowerDishwasher,Electrical Power_Electrical Instantaneous power consumption by dishwasher  W
107,Elec_PowerPlugsBA2South,Electrical Power_Electrical Instantaneous power consumption from receptacles on south side of bathroom 2  W
108,Elec_PowerPlugsMBAWest,Electrical Power_Electrical Instantaneous power consumption from receptacles on west side of master bathroom  W
109,Elec_PowerPlugsBA2North,Electrical Power_Electrical Instantaneous power consumption from receptacles on north side of bathroom 2  W
110,Elec_PowerPlugsBR3,Electrical Power_Electrical Instantaneous power consumption from receptacles in bedroom 3  W
111,Elec_PowerRefrigerator,Electrical Power_Electrical Instantaneous power consumption by refrigerator  W
112,Elec_PowerPlugsKitSink,Electrical  Power_Electrical Instantaneous power consumption by toaster W
113,Elec_PowerPlugsDRB,Electrical Power_Electrical Instantaneous power consumption from receptacles in dining room  W
114,Elec_PowerPlugsAttic,Electrical Power_Electrical Instantaneous power consumption from receptacles in attic  W
115,Elec_EnergyHRV,HVAC Energy_Electrical Cumulative energy consumption of heat recovery ventilator from midnight Wh
116,Elec_PowerHRV,HVAC Power_Electrical Instantaneous power consumption of heat recovery ventilator  W
117,HVAC_DehumidifierAirflow,HVAC Flow_Air Average airflow through dedicated dehumidifier over the course of the minute ft3/min
118,HVAC_DehumidifierExitAirTemp,HVAC Temp_Air Average temperature of air in outlet duct from dedicated dehumidifier over the course of the minute °F
119,HVAC_DehumidifierInletAirTemp,HVAC Temp_Air Average temperature of air in inlet duct to dedicated dehumidifier over the course of the minute °F
120,HVAC_DehumidifierPower,HVAC Power_Electrical Average power consumption of dedicated dehumidifier over the course of the minute W
121,HVAC_HeatPumpIndoorUnitPower,"HVAC Power_Electrical Average power consumption of heat pump indoor unit (blower, controls, resistance heat) over the course of the minute W"
122,HVAC_HeatPumpOutdoorUnitPower,"HVAC  Power_Electrical Average power consumption of heat pump outdoor unit (compressor, fan, controls, defrost) over the course of the minute W"
123,HVAC_HVACDewpointReturnAir,HVAC Temp_DewP Instantaneous dewpoint temperature of air in return duct prior to indoor unit °C
