ID,Data Label,Description
107,Elec_PowerPlugsBA2South,Elec_PowerPlugsBA2South Electrical Bath2 Power_Electrical Instantaneous power consumption from receptacles on south side of bathroom 2  W
108,Elec_PowerPlugsMBAWest,Elec_PowerPlugsMBAWest Electrical MBath Power_Electrical Instantaneous power consumption from receptacles on west side of master bathroom  W
109,Elec_PowerPlugsBA2North,Elec_PowerPlugsBA2North Electrical Bath2 Power_Electrical Instantaneous power consumption from receptacles on north side of bathroom 2  W
110,Elec_PowerPlugsBR3,Elec_PowerPlugsBR3 Electrical Bedroom3 Power_Electrical Instantaneous power consumption from receptacles in bedroom 3  W
111,Elec_PowerRefrigerator,Elec_PowerRefrigerator Electrical Kitchen Power_Electrical Instantaneous power consumption by refrigerator  W
112,Elec_PowerPlugsKitSink,Elec_PowerPlugsKitSink Electrical  Kitchen Power_Electrical Instantaneous power consumption by toaster W
113,Elec_PowerPlugsDRB,Elec_PowerPlugsDRB Electrical Dining Room Power_Electrical Instantaneous power consumption from receptacles in dining room  W
114,Elec_PowerPlugsAttic,Elec_PowerPlugsAttic Electrical Attic Power_Electrical Instantaneous power consumption from receptacles in attic  W
115,Elec_EnergyHRV,Elec_EnergyHRV HVAC Basement Energy_Electrical Cumulative energy consumption of heat recovery ventilator from midnight Wh
116,Elec_PowerHRV,Elec_PowerHRV HVAC Basement Power_Electrical Instantaneous power consumption of heat recovery ventilator  W
117,HVAC_DehumidifierAirflow,HVAC_DehumidifierAirflow HVAC Basement Flow_Air Average airflow through dedicated dehumidifier over the course of the minute ft3/min
118,HVAC_DehumidifierExitAirTemp,HVAC_DehumidifierExitAirTemp HVAC Basement Temp_Air Average temperature of air in outlet duct from dedicated dehumidifier over the course of the minute °F
119,HVAC_DehumidifierInletAirTemp,HVAC_DehumidifierInletAirTemp HVAC Basement Temp_Air Average temperature of air in inlet duct to dedicated dehumidifier over the course of the minute °F
120,HVAC_DehumidifierPower,HVAC_DehumidifierPower HVAC Basement Power_Electrical Average power consumption of dedicated dehumidifier over the course of the minute W
121,HVAC_HeatPumpIndoorUnitPower,"HVAC_HeatPumpIndoorUnitPower HVAC Basement Power_Electrical Average power consumption of heat pump indoor unit (blower, controls, resistance heat) over the course of the minute W"
122,HVAC_HeatPumpOutdoorUnitPower,"HVAC_HeatPumpOutdoorUnitPower HVAC  Outdoor Power_Electrical Average power consumption of heat pump outdoor unit (compressor, fan, controls, defrost) over the course of the minute W"
123,HVAC_HVACDewpointReturnAir,HVAC_HVACDewpointReturnAir HVAC Basement Temp_DewP Instantaneous dewpoint temperature of air in return duct prior to indoor unit °C
124,HVAC_HVACDewpointSupplyAir,HVAC_HVACDewpointSupplyAir HVAC Basement Temp_DewP Instantaneous dewpoint temperature of air in supply duct after indoor unit °C
125,HVAC_HVACTempReturnAir,HVAC_HVACTempReturnAir HVAC Basement Temp_Air Instantaneous dry bulb temperature of air in return duct prior to indoor unit °C
126,HVAC_HVACTempSupplyAir,HVAC_HVACTempSupplyAir HVAC Basement Temp_Air Instantaneous dry bulb temperature of air in supply duct after indoor unit °C
127,IndEnv_BasementRH,"IndEnv_BasementRH IndEnv Basement RH Relative humidity in basement, on a scale of 0 to 1 "
128,IndEnv_Bedroom2RH,"IndEnv_Bedroom2RH IndEnv Bedroom2 RH Relative humidity in bedroom 2 on second floor, on a scale of 0 to 1 "
129,IndEnv_Bedroom3RH,"IndEnv_Bedroom3RH IndEnv Bedroom3 RH Relative humidity in bedroom 3 on second floor, on a scale of 0 to 1 "
130,IndEnv_KitchenRH,"IndEnv_KitchenRH IndEnv Kitchen RH Relative humidity in kitchen, on a scale of 0 to 1 "
131,IndEnv_LivingRmRH,"IndEnv_LivingRmRH IndEnv Living Room RH Relative humidity in living room, on a scale of 0 to 1 "
132,IndEnv_MastBedRmRH,"IndEnv_MastBedRmRH IndEnv Master Bedroom RH Relative humidity in master bedroom, on a scale of 0 to 1 "
133,IndEnv_MBARH,"IndEnv_MBARH IndEnv MBath RH Relative humidity in master bathroom, on a scale of 0 to 1 "
134,IndEnv_RadiantTempBR2,IndEnv_RadiantTempBR2 IndEnv Bedroom2 Temp_Rad Instantaneous drybulb temperature within the radiant temperature sensor in bedroom 2 on second floor °C
135,IndEnv_RadiantTempBR3,IndEnv_RadiantTempBR3 IndEnv Bedroom3 Temp_Rad Instantaneous drybulb temperature within the radiant temperature sensor in bedroom 3 on second floor °C
136,IndEnv_RadiantTempKitchen,IndEnv_RadiantTempKitchen IndEnv Kitchen Temp_Rad Instantaneous drybulb temperature within the radiant temperature sensor in the kitchen °C
137,IndEnv_RadiantTempLR,IndEnv_RadiantTempLR IndEnv Living Room Temp_Rad Instantaneous drybulb temperature within the radiant temperature sensor in the living room °C
138,IndEnv_RadiantTempMBR,IndEnv_RadiantTempMBR IndEnv Master Bedroom Temp_Rad Instantaneous drybulb temperature within the radiant temperature sensor in the master bedroom °C
139,IndEnv_RoomTempAtticNE,IndEnv_RoomTempAtticNE IndEnv Attic Temp_Air Instantaneous drybulb temperature in northeast quadrant of attic °C
140,IndEnv_RoomTempAtticNW,IndEnv_RoomTempAtticNW IndEnv Attic Temp_Air Instantaneous drybulb temperature in northwest quadrant of attic °C
141,IndEnv_RoomTempAtticSE,IndEnv_RoomTempAtticSE IndEnv Attic Temp_Air Instantaneous drybulb temperature in southeast quadrant of attic °C
142,IndEnv_RoomTempAtticSW,IndEnv_RoomTempAtticSW IndEnv Attic Temp_Air Instantaneous drybulb temperature in southwest quadrant of attic °C
143,IndEnv_RoomTempBA1Temp,IndEnv_RoomTempBA1Temp IndEnv Bath1 Temp_Air Instantaneous drybulb temperature in bathroom 1 on first floor °C
144,IndEnv_RoomTempBA2Temp,IndEnv_RoomTempBA2Temp IndEnv Bath2 Temp_Air Instantaneous drybulb temperature in bathroom 2 on second floor °C
145,IndEnv_RoomTempBasementNE,IndEnv_RoomTempBasementNE IndEnv Basement Temp_Air Instantaneous drybulb temperature in middle of northeast quadrant of basement °C
146,IndEnv_RoomTempBasementNW,IndEnv_RoomTempBasementNW IndEnv Basement Temp_Air Instantaneous drybulb temperature in middle of northwest quadrant of basement °C
147,IndEnv_RoomTempBasementSE,IndEnv_RoomTempBasementSE IndEnv Basement Temp_Air Instantaneous drybulb temperature in middle of southeast quadrant of basement °C
148,IndEnv_RoomTempBasementSW,IndEnv_RoomTempBasementSW IndEnv Basement Temp_Air Instantaneous drybulb temperature in middle of southwest quadrant of basement °C
149,IndEnv_RoomTempBR2Temp,IndEnv_RoomTempBR2Temp IndEnv Bedroom2 Temp_Air Instantaneous drybulb temperature in bedroom 2 on second floor °C
150,IndEnv_RoomTempBR3Temp,IndEnv_RoomTempBR3Temp IndEnv Bedroom3 Temp_Air Instantaneous drybulb temperature in bedroom 3 on second floor °C
151,IndEnv_RoomTempBR4Temp,IndEnv_RoomTempBR4Temp IndEnv Bedroom4 Temp_Air Instantaneous drybulb temperature in bedroom 4 °C
152,IndEnv_RoomTempDRTemp,IndEnv_RoomTempDRTemp IndEnv Dining Room Temp_Air Instantaneous drybulb temperature in dining room °C
